HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00255441; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00255441,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00092298; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00092298,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00325978; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325978,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00060149; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00060149,OU=RH-UP,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00306478; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00306478,OU=AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
MI00313816; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00313816,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00321136; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321136,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00258033; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00258033,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00294382; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294382,OU=TIC,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00066546; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00066546,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00063551; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00063551,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00049002; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00049002,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00284190; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00284190,OU=AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
MI00300980; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00300980,OU=AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
NO00034710; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00034710,OU=TA-Manaus,OU=TIC-AM,OU=Notebooks,DC=transp,DC=biz
NO00081792; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00081792,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00289104; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289104,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00082746; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00082746,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00320458; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320458,OU=SAO CAETANO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00291346; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00291346,OU=UO-AM,OU=GERAL,OU=TIC-AM,OU=Desktops,DC=petrobras,DC=biz
NO00072139; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072139,OU=Novos Computadores,DC=transp,DC=biz
ES00004895; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00004895,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00325018; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325018,OU=TA-Manaus,OU=TIC-AM,OU=Desktops,DC=transp,DC=biz
MI00320867; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00320867,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00262796; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00262796,OU=PLATAFORMAS,OU=OFFSHORE,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00076150; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00076150,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00320072; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00320072,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00296416; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00296416,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00079096; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00079096,OU=ITAJAI,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00250248; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00250248,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00318652; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00318652,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00071410; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; transp.biz; CN=NO00071410,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00074788; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00074788,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00073071; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; transp.biz; CN=NO00073071,OU=TA-Manaus,OU=TIC-AM,OU=Notebooks,DC=transp,DC=biz
MI00321640; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321640,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00092169; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00092169,OU=GUARULHOS,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
TP00001502; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=TP00001502,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00260295; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00260295,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00070097; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070097,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00239225; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00239225,OU=TIC,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00321698; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321698,OU=PARANAGUA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00082788; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00082788,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI00295574; Inexistente - DNS_ERRO; -; -; -; -; -
MI00278564; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00278564,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00317070; Ligado - 0; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317070,OU=SAO CAETANO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00059507; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00059507,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00044389; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00044389,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
ES00008004; Ligado - 0; True; ; Windows 7 Enterprise; petrobras.biz; CN=ES00008004,OU=CFTV-IP-INDIGOVISION,OU=CFTV,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
NO00068645; Desligado - DNS_ERRO; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068645,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00072829; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072829,OU=Novos Computadores,DC=transp,DC=biz
MI00291402; Inexistente - 1; -; -; -; -; -
NO00091827; Desligado - 1; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091827,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
NO00068688; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068688,OU=NITEROI,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00068679; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068679,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00068660; Desligado - 1; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068660,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00294274; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00294274,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
MI00289621; Desligado - 1; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00289621,OU=GERAL,OU=TIC-SPS,OU=Desktops,DC=petrobras,DC=biz
