HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
NO00057805; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00057805,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00089376; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00089376,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00076358; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00076358,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00071290; Inexistente; -; -; -; -; -
MI00278998; Inexistente; -; -; -; -; -
NO00094015; Inexistente; -; -; -; -; -
MI00277938; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00277938,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00059815; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00059815,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00063351; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00063351,OU=UO-BS,OU=GERAL,OU=TIC-SPS,OU=Notebooks,DC=petrobras,DC=biz
MI185601; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI185601,OU=GERAL,OU=TIC-BC,OU=Desktops,DC=petrobras,DC=biz
MI187704; Inexistente; -; -; -; -; -
MI00261028; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00261028,OU=CENPES,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
MI00275553; Ligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00275553,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00046717; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00046717,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
MI00204736; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI00204736,OU=TIC,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00076770; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00076770,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00080295; Inexistente; -; -; -; -; -
MI183578; Desligado; False; ; Windows 7 Enterprise; petrobras.biz; CN=MI183578,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00064018; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00064018,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MI00197595; Inexistente; -; -; -; -; -
MI00319421; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=MI00319421,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00071610; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00071610,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091669; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091669,OU=UO-RIO,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
MV00002456; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=MV00002456,OU=DEDICADOS,OU=CORP,OU=VDI,OU=TIC-RIO,OU=Desktops,DC=petrobras,DC=biz
NO00061111; Inexistente; -; -; -; -; -
NO00070934; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00070934,OU=GERAL,OU=TIC-BC,OU=Notebooks,DC=petrobras,DC=biz
NO00050193; Desligado; True; ; Windows 7 Enterprise; petrobras.biz; CN=NO00050193,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
NO00091789; Desligado; True; ; Windows 10 Enterprise; petrobras.biz; CN=NO00091789,OU=GERAL,OU=TIC-RIO,OU=Notebooks,DC=petrobras,DC=biz
