HOSTNAME; STATUS; ATIVO; IP; SO; DOMINIO; OU
MI00321697; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321697,OU=CFTV-SISP-INDIGOVISION,OU=CFTV,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00068633; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068633,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00073364; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00073364,OU=Novos Computadores,DC=transp,DC=biz
MI00328912; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328912,OU=BARUERI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00073791; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00073791,OU=BARUERI,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00039379; Inexistente; -; -; -; -; -
MI00326009; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00326009,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00073818; Inexistente; -; -; -; -; -
NO00059002; Inexistente; -; -; -; -; -
MI00318643; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00318643,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00238347; Inexistente; -; -; -; -; -
MI00321116; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321116,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00328923; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328923,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00093426; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00093426,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00328921; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328921,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00325801; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325801,OU=PARANAGUA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00092228; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00092228,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00064024; Inexistente; -; -; -; -; -
MI00328925; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328925,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00068755; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068755,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
MI00273863; Inexistente; -; -; -; -; -
MI00212431; Inexistente; -; -; -; -; -
NO00092296; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00092296,OU=OSORIO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00249280; Inexistente; -; -; -; -; -
MI00234273; Inexistente; -; -; -; -; -
MI00206062; Inexistente; -; -; -; -; -
NO00092217; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00092217,OU=CENTRO-OESTE,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00261866; Inexistente; -; -; -; -; -
NO023158; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO023158,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00329272; Inexistente; -; -; -; -; -
NO00068554; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068554,OU=PILOES,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00325743; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325743,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00318656; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00318656,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00084768; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00084768,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00078990; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00078990,OU=SEDE-RJ,OU=TIC-RIO,OU=Notebooks,DC=transp,DC=biz
NO00068605; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00068605,OU=Novos Computadores,DC=transp,DC=biz
NO00094737; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094737,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094940; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094940,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
NO00094727; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094727,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00326019; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00326019,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00324876; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00324876,OU=TA-Belem,OU=TIC-AM,OU=Desktops,DC=transp,DC=biz
MI00238231; Inexistente; -; -; -; -; -
NO00094740; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094740,OU=SAO FRANCISCO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00288859; Inexistente; -; -; -; -; -
MI00325684; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00325684,OU=PARANAGUA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00261776; Inexistente; -; -; -; -; -
MI00328915; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328915,OU=Novos Computadores,DC=transp,DC=biz
NO00094730; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00094730,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00210651; Inexistente; -; -; -; -; -
MI00317767; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00317767,OU=SAO SEBASTIAO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00328906; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328906,OU=GUARULHOS,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00248919; Inexistente; -; -; -; -; -
NO00070576; Inexistente; -; -; -; -; -
MI00328971; Ligado; True; ; Windows 10 Enterprise; transp.biz; CN=MI00328971,OU=NITEROI,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00072906; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00072906,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00194192; Inexistente; -; -; -; -; -
MI00295804; Inexistente; -; -; -; -; -
NO00073388; Ligado; True; ; Windows 7 Enterprise; transp.biz; CN=NO00073388,OU=Novos Computadores,DC=transp,DC=biz
NO00063708; Inexistente; -; -; -; -; -
MI00306738; Inexistente; -; -; -; -; -
NO00057152; Inexistente; -; -; -; -; -
MI00257502; Inexistente; -; -; -; -; -
MI00280864; Inexistente; -; -; -; -; -
MI00212044; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00212044,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00321737; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321737,OU=OSORIO,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
MI00321132; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00321132,OU=GUARAREMA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO000; Inexistente; -; -; -; -; -
NO00093418; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00093418,OU=Novos Computadores,DC=transp,DC=biz
NO00095207; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00095207,OU=SAO CAETANO,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00320436; Inexistente; -; -; -; -; -
MI00274621; Inexistente; -; -; -; -; -
MI00316312; Desligado; True; ; Windows 7 Enterprise; transp.biz; CN=MI00316312,OU=ALEMOA,OU=TIC-SPS,OU=Desktops,DC=transp,DC=biz
NO00095192; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00095192,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
MI00290228; Inexistente; -; -; -; -; -
NO00095205; Desligado; True; ; Windows 10 Enterprise; transp.biz; CN=NO00095205,OU=GUARAREMA,OU=TIC-SPS,OU=Notebooks,DC=transp,DC=biz
